Line #,Key,en Version,hy Translation
547,hy.stories.asset_fields.remove_image,Remove,Remove
548,hy.stories.asset_fields.placeholder.caption,optional,optional
549,hy.stories.asset_fields.placeholder.source,optional,optional
550,hy.stories.asset_fields.hint.caption,Image Description will appear below the image,Image Description will appear below the image
551,hy.stories.asset_fields.hint.source,Source will appear below the Image Description,Source will appear below the Image Description
552,hy.stories.asset_fields.hint.asset,Only jpg and png format allowed; 4MB file size limit,Only jpg and png format allowed; 4MB file size limit
553,hy.stories.asset_fields.label.caption,Image Description,Image Description
554,hy.stories.asset_fields.label.source,Image Source,Image Source
555,hy.stories.embed_media.form_title,Embed Online Media Form,Embed Online Media Form
556,hy.stories.embed_media.get_media,Get Online Media,Get Online Media
557,hy.stories.embed_media.preview,Preview of Online Media,Preview of Online Media
558,hy.stories.embed_media.error,The URL could not be processed. Please try again.,The URL could not be processed. Please try again.
559,hy.stories.embed_media.placeholder.title,Embed Online Media Title,Embed Online Media Title
560,hy.stories.embed_media.placeholder.url,Url to online media,Url to online media
561,hy.stories.embed_media.hint.title,"This text only appears in the left sidebar, it will not show up in the story","This text only appears in the left sidebar, it will not show up in the story"
562,hy.stories.embed_media.hint.url,"The following sites can be used for embeding online media: AUDIO: Soundcloud, Spotify; VIDEO: YouTube, Vimeo, Twitch.TV, Dotsub, Dailymotion, LiveLeak, Vine, TED","The following sites can be used for embeding online media: AUDIO: Soundcloud, Spotify; VIDEO: YouTube, Vimeo, Twitch.TV, Dotsub, Dailymotion, LiveLeak, Vine, TED"
563,hy.stories.youtube.form_title,YouTube Video Form,YouTube Video Form
564,hy.stories.youtube.get_media,Get Youtube Video,Get Youtube Video
565,hy.stories.youtube.preview,Preview of YouTube Video,Preview of YouTube Video
566,hy.stories.youtube.error,The URL could not be processed. Please try again.,The URL could not be processed. Please try again.
567,hy.stories.youtube.placeholder.title,YouTube Title,YouTube Title
568,hy.stories.youtube.placeholder.url,Url to YouTube video,Url to YouTube video
569,hy.stories.youtube.hint.title,"This text only appears in the left sidebar, it will not show up in the story","This text only appears in the left sidebar, it will not show up in the story"
570,hy.stories.youtube.hint.url,Copy a YouTube URL and paste it here,Copy a YouTube URL and paste it here
571,hy.stories.youtube.hint.fullscreen,"If checked, the video will take up the entire screen","If checked, the video will take up the entire screen"
572,hy.stories.youtube.hint.loop,"If checked, the video will loop over and over","If checked, the video will loop over and over"
573,hy.stories.youtube.hint.info,"If checked, the title bar will be shown on top of the video","If checked, the title bar will be shown on top of the video"
574,hy.stories.youtube.hint.cc,"If checked, the video subtitles will be shown by default","If checked, the video subtitles will be shown by default"
575,hy.stories.youtube.hint.menu_lang,Language of the YouTube menu/controls,Language of the YouTube menu/controls
576,hy.stories.youtube.hint.cc_lang,Language of the subtitles to show by default,Language of the subtitles to show by default
577,hy.storyteller.byline,By,By
578,hy.storyteller.byline_media,Photos and videos by ,Photos and videos by 
579,hy.storyteller.byline_translator,Translated by ,Translated by 
580,hy.storyteller.source,Source:,Source:
581,hy.storyteller.by,by,by
582,hy.storyteller.related_stories,Related Stories,Related Stories
583,hy.storyteller.view_all_stories_in,View all stories in,View all stories in
584,hy.settings.index.title,Settings,Settings
585,hy.settings.index.facebook_avatar,This is your avatar from Facebook.,This is your avatar from Facebook.
586,hy.settings.index.use_facebook_avatar,Use Facebook Avatar,Use Facebook Avatar
587,hy.settings.index.hint.about,Short summary about yourself.  This will be shown with the stories that you publish.,Short summary about yourself.  This will be shown with the stories that you publish.
588,hy.settings.index.hint.default_story_locale,Select the language you want to use by default when creating a new story.,Select the language you want to use by default when creating a new story.
589,hy.settings.index.submit,Save Settings,Save Settings
590,hy.settings.invitations.title,Collaboration Invitations,Collaboration Invitations
591,hy.settings.invitations.no_invitations,At this time you have no invitations waiting for you.,At this time you have no invitations waiting for you.
592,hy.settings.invitations.accept_link,Accept,Accept
593,hy.settings.invitations.decline_link,Decline,Decline
594,hy.settings.invitations.header_date,Date Sent,Date Sent
595,hy.settings.invitations.header_story,Story Title,Story Title
596,hy.settings.invitations.header_role,Role,Role
597,hy.settings.invitations.header_from,Sent By,Sent By
598,hy.settings.notifications.title,Notifications,Notifications
599,hy.settings.notifications.explain,You can receive email notifications whenever new stories are published on Chai Khana! Simply sign in to subscribe.,You can receive email notifications whenever new stories are published on Chai Khana! Simply sign in to subscribe.
600,hy.settings.notifications.all_sub_title,All Notifications,All Notifications
601,hy.settings.notifications.all_label,Do you want to recieve any notifications from Chai Khana?,Do you want to recieve any notifications from Chai Khana?
602,hy.settings.notifications.all_no,"No, do not send me any notifications.","No, do not send me any notifications."
603,hy.settings.notifications.all_yes,"Yes, I want notifications sent to me.","Yes, I want notifications sent to me."
604,hy.settings.notifications.story_comment_sub_title,New Story Comment Notifications,New Story Comment Notifications
605,hy.settings.notifications.story_comment_label,Do you want to recieve notifications when a comment is made to one of your stories?,Do you want to recieve notifications when a comment is made to one of your stories?
606,hy.settings.notifications.story_comment_no,"No, do not send me any notifications.","No, do not send me any notifications."
607,hy.settings.notifications.story_comment_yes,"Yes, I want notifications sent to me.","Yes, I want notifications sent to me."
608,hy.settings.notifications.new_themes_sub_title,New Theme Notifications,New Theme Notifications
609,hy.settings.notifications.new_themes_all,Notify me when any theme is added.,Notify me when any theme is added.
610,hy.settings.notifications.new_themes_none,I do not want to receive notifications when a new theme is added.,I do not want to receive notifications when a new theme is added.
611,hy.settings.notifications.new_stories_by_category,Notify me when a story is added to:,Notify me when a story is added to:
612,hy.settings.notifications.language_sub_title,Notification Language,Notification Language
