Line #,Key,en Version,az Translation
264,az.app.common.app_intro,Chai Khana is an NGO that provides cross-border journalistic trainings and online publishing for issue-based multi-media coverage in the South Caucasus region.,Chai Khana is an NGO that provides cross-border journalistic trainings and online publishing for issue-based multi-media coverage in the South Caucasus region.
265,az.app.common.app_intro_meta,Chai Khana is an NGO that provides cross-border journalistic trainings and online publishing for issue-based multi-media coverage in the South Caucasus region.,Chai Khana is an NGO that provides cross-border journalistic trainings and online publishing for issue-based multi-media coverage in the South Caucasus region.
266,az.app.common.powered_by,Powered by,Powered by
267,az.app.common.powered_by_js,Jumpstart Georgia,Jumpstart Georgia
268,az.app.common.powered_by_end,"",""
269,az.app.common.embed_slogan,Build your story with Chai Khana,Build your story with Chai Khana
270,az.app.common.added_on,Added on: %{date},Added on: %{date}
271,az.app.common.last_sign_in,Logged in last: %{date},Logged in last: %{date}
272,az.app.common.admin,Admin,Admin
273,az.app.common.sign_out,Sign Out,Sign Out
274,az.app.common.jumpstart,JumpStart Georgia,JumpStart Georgia
275,az.app.common.js_link_title,JumpStart Georgia - We communicate data better!,JumpStart Georgia - We communicate data better!
276,az.app.common.js_link_text,Built by,Built by
277,az.app.common.search,Search for Story ...,Search for Story ...
278,az.app.common.build,Build Story,Build Story
279,az.app.common.explore,Explore Stories,Explore Stories
280,az.app.common.about_story,About,About
281,az.app.common.likes,Likes,Likes
282,az.app.common.comments,Comments,Comments
283,az.app.common.publish_date,Publish Date,Publish Date
284,az.app.common.follow,Follow,Follow
285,az.app.common.following,Following,Following
286,az.app.common.follow_link_title,Click to receive notifications whenever this user publishes new stories,Click to receive notifications whenever this user publishes new stories
287,az.app.common.unfollow_link_title,Click to stop receiving notifications whenever this user publishes new stories,Click to stop receiving notifications whenever this user publishes new stories
288,az.app.common.email,Email,Email
289,az.app.common.views,Views,Views
290,az.app.common.permalink,Permalink,Permalink
291,az.app.common.shortened_url,Short URL,Short URL
292,az.app.common.share_story,Share this story,Share this story
293,az.app.common.share_facebook,Share on Facebook,Share on Facebook
294,az.app.common.share_twitter,Share on Twitter,Share on Twitter
295,az.app.common.share,Share,Share
296,az.app.common.staff_pick,Staff Pick,Staff Pick
297,az.app.common.wide,wide,wide
298,az.app.common.partial,Link to Story,Link to Story
299,az.app.common.partial_text,"Embed a link to the story that has the same look as the story links on the home page of Chai Khana (image, title, author, etc)","Embed a link to the story that has the same look as the story links on the home page of Chai Khana (image, title, author, etc)"
300,az.app.common.full,Full Story,Full Story
301,az.app.common.full_text,Embed the complete story on another website. We suggest you make the width as large as possible to produce the best look.,Embed the complete story on another website. We suggest you make the width as large as possible to produce the best look.
302,az.app.common.feed,Chai Khana Feed Channel,Chai Khana Feed Channel
303,az.app.common.home,Home,Home
304,az.app.common.required,Required,Required
305,az.app.common.nothing_selected,Nothing Selected,Nothing Selected
306,az.app.common.clone_asset,Use the original file?,Use the original file?
307,az.app.msgs.does_not_exist,You tried to access a page that does not exist.,You tried to access a page that does not exist.
308,az.app.msgs.not_authorized,You are not authorized to view that page.,You are not authorized to view that page.
309,az.app.msgs.success_created,%{obj} was successfully created.,%{obj} was successfully created.
310,az.app.msgs.success_updated,%{obj} was successfully updated.,%{obj} was successfully updated.
311,az.app.msgs.success_publish,%{obj} was successfully published.,%{obj} was successfully published.
312,az.app.msgs.success_unpublish,%{obj} was successfully unpublished.,%{obj} was successfully unpublished.
313,az.app.msgs.success_clone,%{obj} was successfully cloned to %{to}.,%{obj} was successfully cloned to %{to}.
314,az.app.msgs.error_created,%{obj} wasn't created: %{err},%{obj} wasn't created: %{err}
315,az.app.msgs.error_updated,%{obj} wasn't updated: %{err},%{obj} wasn't updated: %{err}
316,az.app.msgs.error_publish,%{obj} wasn't published: %{err},%{obj} wasn't published: %{err}
317,az.app.msgs.error_publish_missing_fields,%{obj} can't be published until you provide a summary and thumbnail image.,%{obj} can't be published until you provide a summary and thumbnail image.
318,az.app.msgs.error_publish_missing_fields_link,Add the missing content.,Add the missing content.
319,az.app.msgs.error_publish_missing_content_section,At least one section required.,At least one section required.
320,az.app.msgs.error_unpublish,%{obj} wasn't unpublished: %{err},%{obj} wasn't unpublished: %{err}
321,az.app.msgs.error_clone,%{obj} wasn't cloned.,%{obj} wasn't cloned.
322,az.app.msgs.error_clone_notification,Error occurred while cloning story: %{msg},Error occurred while cloning story: %{msg}
323,az.app.msgs.error_export,Story can't be downloaded.,Story can't be downloaded.
324,az.app.msgs.error_get_data,The selected item could not be found,The selected item could not be found
325,az.app.msgs.select_section,Please select a Section first in order to add an Item,Please select a Section first in order to add an Item
326,az.app.msgs.staff_pick,The story has been selected as a Staff Pick,The story has been selected as a Staff Pick
327,az.app.msgs.staff_unpick,The story has been unselected as a Staff Pick,The story has been unselected as a Staff Pick
328,az.app.msgs.success_settings,Your settings were successfully updated.,Your settings were successfully updated.
329,az.app.msgs.success_remove_avatar,Your Facebook avatar is now being used.,Your Facebook avatar is now being used.
330,az.app.msgs.nickname_duplicate,This user URL already exists.,This user URL already exists.
331,az.app.msgs.nickname_url,Your URL will be:,Your URL will be:
332,az.app.msgs.story_duplicate,This story URL already exists.,This story URL already exists.
333,az.app.msgs.story_url,Story URL will be:,Story URL will be:
334,az.app.msgs.invitation.accepted,You have accepted the invitation to collaborate on '%{title}',You have accepted the invitation to collaborate on '%{title}'
335,az.app.msgs.invitation.accepted_already,You have already accepted the invitation to collaborate on '%{title}',You have already accepted the invitation to collaborate on '%{title}'
336,az.app.msgs.invitation.bad,"Sorry, your invitation could not be found or the story has been deleted.","Sorry, your invitation could not be found or the story has been deleted."
337,az.app.msgs.invitation.declined,Your invitation was declined,Your invitation was declined
338,az.app.msgs.one_section.content,Only one Item can be added to a Text section,Only one Item can be added to a Text section
339,az.app.msgs.one_section.slideshow,Only one Item can be added to an Image Slideshow section,Only one Item can be added to an Image Slideshow section
340,az.app.msgs.one_section.embed_media,Only one Item can be added to an Embed Online Media section,Only one Item can be added to an Embed Online Media section
341,az.app.msgs.one_section.youtube,Only one Item can be added to a YouTube section,Only one Item can be added to a YouTube section
342,az.app.msgs.one_section.general,Only one Item can be added to this type of section,Only one Item can be added to this type of section
343,az.app.msgs.destroy_story.success,Story was successfully deleted.,Story was successfully deleted.
344,az.app.msgs.destroy_story.error,Error occurred while deleting the story: %{err},Error occurred while deleting the story: %{err}
345,az.app.msgs.destroy_item.success,Item was successfully deleted.,Item was successfully deleted.
346,az.app.msgs.destroy_item.error,Error occurred while deleting the item: %{err},Error occurred while deleting the item: %{err}
347,az.app.msgs.destroy_item.error_not_found,Item could not be found to delete.,Item could not be found to delete.
348,az.app.msgs.embed_code,Copy and paste this embed code into your web page,Copy and paste this embed code into your web page
349,az.app.msgs.collaborators.success_remove,%{name} was removed as a collaborator,%{name} was removed as a collaborator
350,az.app.msgs.collaborators.user_not_found,User to remove as a collaborator could not be found,User to remove as a collaborator could not be found
351,az.app.msgs.collaborators.no_permission,You do not have permission to remove this collaborator,You do not have permission to remove this collaborator
352,az.app.msgs.collaborators.success_invitations,Invitations were sent!,Invitations were sent!
353,az.app.msgs.collaborators.error_invitations_all,No invitations were sent due to the following erros: %{msg},No invitations were sent due to the following erros: %{msg}
354,az.app.msgs.collaborators.error_invitations_some,"Some invitations were sent, but some were not due to the following erros: %{msg}","Some invitations were sent, but some were not due to the following erros: %{msg}"
355,az.app.msgs.notification.true,You will be sent notifications.,You will be sent notifications.
356,az.app.msgs.notification.false,You will not be sent notifications.,You will not be sent notifications.
357,az.app.msgs.notification.new_story_all_success,You will recieve a notification whenever a story is added.,You will recieve a notification whenever a story is added.
358,az.app.msgs.notification.new_story_none_success,You will not receive any notifications when stories are added.,You will not receive any notifications when stories are added.
359,az.app.msgs.notification.new_story_by_category_success,You will receive a notification when a story is added to these categories: %{categories}.,You will receive a notification when a story is added to these categories: %{categories}.
360,az.app.msgs.notification.story_comments_yes,You will be sent notifications when a comment is made to one of your stories.,You will be sent notifications when a comment is made to one of your stories.
361,az.app.msgs.notification.story_comments_no,You will not be sent notifications when a comment is made to one of your stories.,You will not be sent notifications when a comment is made to one of your stories.
362,az.app.msgs.notification.following_no,You will no longer receive notifications about new stories from '%{nickname}'.,You will no longer receive notifications about new stories from '%{nickname}'.
363,az.app.msgs.notification.language,You will be sent notifications in %{language}.,You will be sent notifications in %{language}.
364,az.app.msgs.fail_change_order,The item was not able to be moved,The item was not able to be moved
365,az.app.msgs.nothing_selected,Please select a section/item to delete,Please select a section/item to delete
366,az.app.msgs.fail_delete,The section/item could not be deleted,The section/item could not be deleted
367,az.app.msgs.confirm_delete,Are you sure you want to delete this section/item?,Are you sure you want to delete this section/item?
368,az.app.msgs.video_processed,Your video is processed,Your video is processed
369,az.app.msgs.video_not_processed,Your video is being processed,Your video is being processed
370,az.app.msgs.not_found_for_update,The record to update could not be found in the database.,The record to update could not be found in the database.
371,az.section_types.content.name,Text,Text
372,az.section_types.content.description,"Can include html, css styling and images","Can include html, css styling and images"
373,az.section_types.media.name,Full-Screen Media Slideshow,Full-Screen Media Slideshow
374,az.section_types.media.description,Images and/or videos as a full-screen vertical slideshow,Images and/or videos as a full-screen vertical slideshow
375,az.section_types.slideshow.name,Image Slideshow,Image Slideshow
376,az.section_types.slideshow.description,Images in a horizontal slideshow,Images in a horizontal slideshow
377,az.section_types.embed_media.name,Embed Online Media,Embed Online Media
378,az.section_types.embed_media.description,"YouTube, Vimeo, etc","YouTube, Vimeo, etc"
379,az.section_types.youtube.name,YouTube Video,YouTube Video
380,az.section_types.youtube.description,YouTube video with ability to setting caption language,YouTube video with ability to setting caption language
381,az.story_role.editor,Editor,Editor
382,az.story_role.translator,Translator,Translator
383,az.message_types.bug,Report a Bug,Report a Bug
384,az.message_types.feature,Request a Feature,Request a Feature
385,az.message_types.feedback,General Feedback,General Feedback
386,az.filters.all,All,All
387,az.filters.matches,Matches,Matches
388,az.filters.staff_pick,Staff Pick,Staff Pick
389,az.filters.staff_pick_title,View stories that have been selected as Staff Picks,View stories that have been selected as Staff Picks
390,az.filters.staff_pick_title_active,Remove Staff Pick filter,Remove Staff Pick filter
391,az.filters.sort_header,Sorted By,Sorted By
392,az.filters.sort_title,Indicate how the stories should be sorted,Indicate how the stories should be sorted
393,az.filters.filters,Filters,Filters
394,az.filters.all_stories,All Stories,All Stories
395,az.filters.sort.recent,Recent,Recent
396,az.filters.sort.reads,Views,Views
397,az.filters.sort.likes,Likes,Likes
398,az.filters.category_header,Category,Category
399,az.filters.category_title,View stories that belong to a category,View stories that belong to a category
400,az.filters.theme_header,Theme,Theme
401,az.filters.theme_title,View stories that belong to a theme,View stories that belong to a theme
402,az.filters.language_header,Language,Language
403,az.filters.language_title,View stories that are written in a particular language,View stories that are written in a particular language
404,az.filters.search,Find a Story,Find a Story
405,az.filters.following,Following,Following
406,az.filters.following_title,View stories of users that you are following,View stories of users that you are following
407,az.filters.following_title_active,Remove Following filter,Remove Following filter
408,az.filters.not_published,Not Published,Not Published
409,az.filters.not_published_title,View stories that are not published,View stories that are not published
410,az.filters.not_published_title_active,Show all stories,Show all stories
411,az.tokeninput.searchingText,Searching...,Searching...
412,az.tokeninput.tag.hintText,Search for an existing tag or enter a new tag,Search for an existing tag or enter a new tag
413,az.tokeninput.tag.noResultsText,No matches found. Press 'Enter' to save this new tag.,No matches found. Press 'Enter' to save this new tag.
414,az.tokeninput.collaborator.hintText,Search for an existing user or enter the email address for a new user,Search for an existing user or enter the email address for a new user
415,az.tokeninput.collaborator.noResultsText,No matches found. Press 'Enter' to add this email address to the list of invited collaborators.,No matches found. Press 'Enter' to add this email address to the list of invited collaborators.
416,az.layouts.unsupported_browser.title,Unsupported Browser,Unsupported Browser
417,az.layouts.unsupported_browser.video,Your browser does not support this video.,Your browser does not support this video.
418,az.layouts.unsupported_browser.p1,We are sorry to report that your browser is out of date and will not properly render the content from this website.,We are sorry to report that your browser is out of date and will not properly render the content from this website.
419,az.layouts.unsupported_browser.p2,"On the bright side, there are several free browsers that you can download that are compatible with this site.","On the bright side, there are several free browsers that you can download that are compatible with this site."
420,az.layouts.unsupported_browser.chrome,Chrome,Chrome
421,az.layouts.unsupported_browser.firefox,Firefox,Firefox
422,az.layouts.unsupported_browser.ie,Internet Explorer (Windows only),Internet Explorer (Windows only)
423,az.layouts.unsupported_browser.opera,Opera,Opera
424,az.layouts.unsupported_browser.Safari,Safari,Safari
425,az.layouts.unsupported_browser.admin,Admin,Admin
426,az.layouts.unsupported_browser.sign_out,Sign Out,Sign Out
427,az.layouts.unsupported_browser.js_link_title,JumpStart Georgia - We communicate data better!,JumpStart Georgia - We communicate data better!
428,az.layouts.unsupported_browser.js_link_text,Built by,Built by
429,az.layouts.reviewer.copy,Copy To Clipboard...,Copy To Clipboard...
430,az.layouts.reviewer.copied,Copied!,Copied!
431,az.shared.grid.no_stories,Oh no - no stories could be found!,Oh no - no stories could be found!
432,az.admin.index.title,Administration Section,Administration Section
433,az.admin.index.users,Users,Users
434,az.admin.users.edit.title,Editing User,Editing User
435,az.admin.users.index.title,Users,Users
436,az.admin.users.new.title,New User,New User
437,az.admin.users.show.title,User Details,User Details
438,az.root.index,,
439,az.root.about.title,About Chai Khana,About Chai Khana
440,az.root.embed.home_link,Built on Chai Khana,Built on Chai Khana
441,az.stories.index,,
442,az.stories.new.title,Story Settings Form,Story Settings Form
443,az.stories.edit.title,Story Settings Form,Story Settings Form
444,az.stories.form.placeholder.title,Title of Story,Title of Story
445,az.stories.form.placeholder.permalink,URL to the story,URL to the story
446,az.stories.form.placeholder.author,Author(s) of the article,Author(s) of the article
447,az.stories.form.placeholder.media_author,Author(s) of photos and/or videos,Author(s) of photos and/or videos
448,az.stories.form.placeholder.translation_author,Author(s) that translated the story into this language,Author(s) that translated the story into this language
449,az.stories.form.hint.title,Story title will appear at the top of your story,Story title will appear at the top of your story
450,az.stories.form.hint.permalink,"The default URL is the title of the story, but you can change it if desired","The default URL is the title of the story, but you can change it if desired"
451,az.stories.form.hint.author,Select the author(s) of the story to allow the story to appear on their webpage.,Select the author(s) of the story to allow the story to appear on their webpage.
452,az.stories.form.hint.media_author,Author names will appear below the Story Author names,Author names will appear below the Story Author names
453,az.stories.form.hint.translation_author,Author names will appear below the Photo and Video Author names,Author names will appear below the Photo and Video Author names
454,az.stories.form.hint.published,Published stories are available for the world to view,Published stories are available for the world to view
455,az.stories.form.hint.publish_home_page,"If checked, your published story will appear on the site's homepage","If checked, your published story will appear on the site's homepage"
456,az.stories.form.hint.template,Choose template to apply styling to story,Choose template to apply styling to story
457,az.stories.form.hint.thumbnail,Image that is used to show the story on the home page when the story is published (jpg and png only; 4MB file size limit),Image that is used to show the story on the home page when the story is published (jpg and png only; 4MB file size limit)
458,az.stories.form.hint.editor,Person that created the story record in this website,Person that created the story record in this website
459,az.stories.form.hint.editors,Select people that you want to give access to edit the story,Select people that you want to give access to edit the story
460,az.stories.form.hint.about,Short summary of story that will be used on the home page and when you story is shared,Short summary of story that will be used on the home page and when you story is shared
461,az.stories.form.hint.locale,Select the language of your story. Allows users to filter stories by a language.,Select the language of your story. Allows users to filter stories by a language.
462,az.stories.form.hint.categories,Select the category(s) your story belongs to.  Allows users to filter stories by a category.,Select the category(s) your story belongs to.  Allows users to filter stories by a category.
