Line #,Key,en Version,ru Translation
61,ru.activerecord.attributes.medium.media_type,Media Type,Media Type
62,ru.activerecord.attributes.medium.image,Image,Image
63,ru.activerecord.attributes.medium.video,Video,Video
64,ru.activerecord.attributes.medium.video_loop,Loop Video,Loop Video
65,ru.activerecord.attributes.medium_translation.title,Title,Title
66,ru.activerecord.attributes.medium_translation.caption,Caption,Caption
67,ru.activerecord.attributes.medium_translation.caption_align,Caption Alignment,Caption Alignment
68,ru.activerecord.attributes.medium_translation.infobox_type,Caption Position,Caption Position
69,ru.activerecord.attributes.medium_translation.summary,Summary,Summary
70,ru.activerecord.attributes.medium_translation.source,Source,Source
71,ru.activerecord.attributes.medium_translation.image,Image,Image
72,ru.activerecord.attributes.medium_translation.video,Video,Video
73,ru.activerecord.attributes.slideshow.title,Title,Title
74,ru.activerecord.attributes.slideshow.caption,Heading,Heading
75,ru.activerecord.attributes.embed_medium.title,Title,Title
76,ru.activerecord.attributes.embed_medium.url,Url to Online Media,Url to Online Media
77,ru.activerecord.attributes.youtube.fullscreen,Fullscreen,Fullscreen
78,ru.activerecord.attributes.youtube.loop,Loop,Loop
79,ru.activerecord.attributes.youtube.info,Show Video Title Bar,Show Video Title Bar
80,ru.activerecord.attributes.youtube_translation.title,Title,Title
81,ru.activerecord.attributes.youtube_translation.url,Url to YouTube Video,Url to YouTube Video
82,ru.activerecord.attributes.youtube_translation.menu_lang,Player Language,Player Language
83,ru.activerecord.attributes.youtube_translation.cc,Show Caption/Subtitle,Show Caption/Subtitle
84,ru.activerecord.attributes.youtube_translation.cc_lang,Subtitle Language,Subtitle Language
85,ru.activerecord.attributes.language.locale,Locale,Locale
86,ru.activerecord.attributes.language.name,Language Name,Language Name
87,ru.activerecord.attributes.category_translation.name,Name,Name
88,ru.activerecord.attributes.page.name,Unique name for content (do not change!),Unique name for content (do not change!)
89,ru.activerecord.attributes.page_translation.title,Title to show above content,Title to show above content
90,ru.activerecord.attributes.page_translation.content,Content,Content
91,ru.activerecord.attributes.theme.is_published,Publish?,Publish?
92,ru.activerecord.attributes.theme.published_at,Date Published,Date Published
93,ru.activerecord.attributes.theme.show_home_page,Show this theme on the home page?,Show this theme on the home page?
94,ru.activerecord.attributes.theme_translation.name,Name,Name
95,ru.activerecord.attributes.theme_translation.edition,Edition,Edition
96,ru.activerecord.attributes.theme_translation.description,Description,Description
97,ru.activerecord.attributes.theme_translation.permalink,URL,URL
98,ru.activerecord.attributes.story_type.sort_order,Sort Order,Sort Order
99,ru.activerecord.attributes.story_type_translation.name,Name,Name
100,ru.activerecord.attributes.story_type_translation.permalink,URL,URL
101,ru.activerecord.errors.messages.required_field,is a required field.,is a required field.
102,ru.activerecord.errors.messages.already_exists,already exists in the database.,already exists in the database.
103,ru.activerecord.errors.messages.story_authors,must have at least one person selected.,must have at least one person selected.
104,ru.mailer.closing,"Sincerely,","Sincerely,"
105,ru.mailer.signature,The Chai Khana Team,The Chai Khana Team
106,ru.mailer.unsubscribe,Click here to change your notification settings,Click here to change your notification settings
107,ru.mailer.contact.contact_form.subject,Chai Khana Contact Form,Chai Khana Contact Form
108,ru.mailer.notification.new_user.subject,Welcome to Chai Khana!,Welcome to Chai Khana!
109,ru.mailer.notification.new_user.message,"Thank you for becoming a member of Chai Khana. We look forward to exploring the stories you build!

When you have a chance, please visit your settings page so you can update your avatar, nickname, personal URL, and a summary about yourself: [settings_link].

You can manage when you would like to receive email notifications from Chai Khana by going to the notifications page: [notifications_link]. ","Thank you for becoming a member of Chai Khana. We look forward to exploring the stories you build!

When you have a chance, please visit your settings page so you can update your avatar, nickname, personal URL, and a summary about yourself: [settings_link].

You can manage when you would like to receive email notifications from Chai Khana by going to the notifications page: [notifications_link]. "
110,ru.mailer.notification.published_story.subject,New stories have been published on Chai Khana!,New stories have been published on Chai Khana!
111,ru.mailer.notification.published_story.message,The following stories you have expressed interest in were recently published:,The following stories you have expressed interest in were recently published:
112,ru.mailer.notification.story_comment.subject,Someone has posted a comment on your story on Chai Khana!,Someone has posted a comment on your story on Chai Khana!
113,ru.mailer.notification.story_comment.message,The following stories have recently received a comment:,The following stories have recently received a comment:
114,ru.mailer.notification.story_comment.comment,1 Comment,1 Comment
115,ru.mailer.notification.story_comment.comments,%{num} Comments,%{num} Comments
116,ru.mailer.notification.story_collaboration.subject,You have been invited to collaborate on a story on Chai Khana!,You have been invited to collaborate on a story on Chai Khana!
117,ru.mailer.notification.story_collaboration.message,"You have received the following invitations to collaborate on stories with other people on Chai Khana. If you would like to accept the invitation, simply click the 'Accept the Invitation' link. If you want to decline this invitation, no action is needed on your part.","You have received the following invitations to collaborate on stories with other people on Chai Khana. If you would like to accept the invitation, simply click the 'Accept the Invitation' link. If you want to decline this invitation, no action is needed on your part."
118,ru.mailer.notification.story_collaboration.from,From,From
119,ru.mailer.notification.story_collaboration.role,Role,Role
120,ru.mailer.notification.story_collaboration.story_title,Story Title,Story Title
121,ru.mailer.notification.story_collaboration.msg,Message,Message
122,ru.mailer.notification.story_collaboration.accept_link,Accept the Invitation,Accept the Invitation
123,ru.mailer.notification.story_collaboration.all_invitations,View all of your Chai Khana collaboration invitations.,View all of your Chai Khana collaboration invitations.
124,ru.mailer.notification.processed_videos.subject,Your videos on Chai Khana have been processed!,Your videos on Chai Khana have been processed!
125,ru.mailer.notification.processed_videos.message,The following stories of yours have videos that have completed processing:,The following stories of yours have videos that have completed processing:
126,ru.mailer.notification.processed_videos.story_title,Story:,Story:
127,ru.mailer.notification.processed_videos.status,Video Processing Status: %{processed} of %{total} completed,Video Processing Status: %{processed} of %{total} completed
128,ru.mailer.notification.processed_videos.processed,Videos Processed:,Videos Processed:
129,ru.mailer.notification.processed_videos.not_processed,Videos Still Processing:,Videos Still Processing:
130,ru.mailer.notification.processed_videos.none_processed,No vidoes have been processed.,No vidoes have been processed.
131,ru.mailer.notification.processed_videos.none_processing,All videos have been processed!,All videos have been processed!
132,ru.mailer.notification.processed_video_errors.subject,Videos on Chai Khana have processing errors!,Videos on Chai Khana have processing errors!
133,ru.mailer.notification.processed_video_errors.message,The following videos had errors while being processed:,The following videos had errors while being processed:
134,ru.mailer.notification.processed_video_errors.story_id,Story ID,Story ID
135,ru.mailer.notification.processed_video_errors.asset_id,Asset ID,Asset ID
136,ru.mailer.notification.processed_video_errors.path,URL of Video,URL of Video
137,ru.helpers.actions,Actions,Actions
138,ru.helpers.links.admin,Admin Section,Admin Section
139,ru.helpers.links.edit,Edit,Edit
140,ru.helpers.links.confirm,Are you sure?,Are you sure?
141,ru.helpers.links.destroy,Delete,Delete
142,ru.helpers.links.new,New,New
143,ru.helpers.links.list,View All,View All
144,ru.helpers.links.back,View All,View All
145,ru.helpers.links.cancel,Cancel,Cancel
146,ru.helpers.links.reset,Reset,Reset
147,ru.helpers.links.view,View,View
148,ru.helpers.links.sign_in_facebook,Sign in with Facebook,Sign in with Facebook
149,ru.helpers.links.edit_story,Edit Story Settings,Edit Story Settings
150,ru.helpers.links.delete_story,Delete Story,Delete Story
151,ru.helpers.links.admin_story,Edit Content,Edit Content
152,ru.helpers.links.publish_story,Publish Story,Publish Story
153,ru.helpers.links.forgot_password,Forgot Password?,Forgot Password?
154,ru.helpers.links.change_password,Change Your Password,Change Your Password
155,ru.helpers.links.change_password2,Change Password,Change Password
156,ru.helpers.links.password_reset,Reset Password,Reset Password
157,ru.helpers.links.sign_in2,Sign In,Sign In
158,ru.helpers.links.sign_in,Already have an account?,Already have an account?
159,ru.helpers.links.sign_up2,Sign Up,Sign Up
160,ru.helpers.links.sign_up_question,Not a member yet?,Not a member yet?
161,ru.helpers.links.sign_up,Register now,Register now
162,ru.helpers.links.sign_up_title,Join Chai Khana,Join Chai Khana
163,ru.helpers.links.sign_out,Sign Out,Sign Out
164,ru.helpers.links.sign_in_provider,Sign in with %{provider},Sign in with %{provider}
165,ru.helpers.links.sign_up_provider,Sign up with %{provider},Sign up with %{provider}
166,ru.helpers.links.sign_in_local_or_provider,or log in with your email and password,or log in with your email and password
167,ru.helpers.links.reset_or_sign_in,sign in with facebook or reset your password,sign in with facebook or reset your password
168,ru.helpers.links.add_story,Add Story,Add Story
169,ru.helpers.links.users,Users,Users
170,ru.helpers.links.authors,Authors,Authors
171,ru.helpers.links.feedback,Feedback,Feedback
172,ru.helpers.links.about,About,About
173,ru.helpers.links.rss,RSS,RSS
174,ru.helpers.links.themes,Themes,Themes
175,ru.helpers.links.story_types,Types,Types
176,ru.helpers.links.languages,Languages,Languages
177,ru.helpers.links.follow,Follow,Follow
178,ru.helpers.links.facebook,Facebook,Facebook
179,ru.helpers.links.twitter,Twitter,Twitter
180,ru.helpers.links.youtube,YouTube,YouTube
181,ru.helpers.links.subscribe,Subscribe,Subscribe
182,ru.helpers.links.user_settings,Settings,Settings
183,ru.helpers.links.like,Like,Like
184,ru.helpers.links.likes,Likes,Likes
185,ru.helpers.links.comments,Comment on this story,Comment on this story
186,ru.helpers.links.views,%{num} views,%{num} views
187,ru.helpers.links.tags,Tags,Tags
188,ru.helpers.links.menu,Menu,Menu
189,ru.helpers.links.pages,Edit Text on Site,Edit Text on Site
190,ru.helpers.links.next,Next,Next
191,ru.helpers.links.story_menu.link.story,Story,Story
192,ru.helpers.links.story_menu.link.story_settings,Story Settings,Story Settings
193,ru.helpers.links.story_menu.link.collaborators,Collaborators,Collaborators
194,ru.helpers.links.story_menu.link.preview,Preview,Preview
195,ru.helpers.links.story_menu.link.publish,Publish,Publish
196,ru.helpers.links.story_menu.link.unpublish,Unpublish,Unpublish
197,ru.helpers.links.story_menu.link.review,Private URL,Private URL
198,ru.helpers.links.story_menu.link.clone,Clone,Clone
199,ru.helpers.links.story_menu.link.export,Download,Download
200,ru.helpers.links.story_menu.link.delete_story,Delete,Delete
201,ru.helpers.links.story_menu.link.translations,Translations,Translations
202,ru.helpers.links.story_menu.title.story,Edit your story,Edit your story
203,ru.helpers.links.story_menu.title.story_settings,"Edit story title, authors, URL, summary, thumbnail, language, tags and/or categories, content etc.","Edit story title, authors, URL, summary, thumbnail, language, tags and/or categories, content etc."
