Line #,Key,en Version,ru Translation
274,ru.app.common.app_intro_meta,Chai Khana is an NGO that provides cross-border journalistic trainings and online publishing for issue-based multi-media coverage in the South Caucasus region.,Chai Khana is an NGO that provides cross-border journalistic trainings and online publishing for issue-based multi-media coverage in the South Caucasus region.
275,ru.app.common.powered_by,Powered by,Powered by
276,ru.app.common.powered_by_js,Jumpstart Georgia,Jumpstart Georgia
277,ru.app.common.powered_by_end,"",""
278,ru.app.common.embed_slogan,Build your story with Chai Khana,Build your story with Chai Khana
279,ru.app.common.added_on,Added on: %{date},Added on: %{date}
280,ru.app.common.last_sign_in,Logged in last: %{date},Logged in last: %{date}
281,ru.app.common.admin,Admin,Admin
282,ru.app.common.sign_out,Sign Out,Sign Out
283,ru.app.common.jumpstart,JumpStart Georgia,JumpStart Georgia
284,ru.app.common.js_link_title,JumpStart Georgia - We communicate data better!,JumpStart Georgia - We communicate data better!
285,ru.app.common.js_link_text,Built by,Built by
286,ru.app.common.search,Search for Story ...,Search for Story ...
287,ru.app.common.build,Build Story,Build Story
288,ru.app.common.explore,Explore Stories,Explore Stories
289,ru.app.common.about_story,About,About
290,ru.app.common.likes,Likes,Likes
291,ru.app.common.comments,Comments,Comments
292,ru.app.common.publish_date,Publish Date,Publish Date
293,ru.app.common.follow,Follow,Follow
294,ru.app.common.following,Following,Following
295,ru.app.common.follow_link_title,Click to receive notifications whenever this author publishes new stories,Click to receive notifications whenever this author publishes new stories
296,ru.app.common.unfollow_link_title,Click to stop receiving notifications whenever this author publishes new stories,Click to stop receiving notifications whenever this author publishes new stories
297,ru.app.common.email,Email,Email
298,ru.app.common.views,Views,Views
299,ru.app.common.permalink,Permalink,Permalink
300,ru.app.common.shortened_url,Short URL,Short URL
301,ru.app.common.share_story,Share this story,Share this story
302,ru.app.common.share_facebook,Share on Facebook,Share on Facebook
303,ru.app.common.share_twitter,Share on Twitter,Share on Twitter
304,ru.app.common.share,Share,Share
305,ru.app.common.staff_pick,Staff Pick,Staff Pick
306,ru.app.common.wide,wide,wide
307,ru.app.common.partial,Link to Story,Link to Story
308,ru.app.common.partial_text,"Embed a link to the story that has the same look as the story links on the home page of Chai Khana (image, title, author, etc)","Embed a link to the story that has the same look as the story links on the home page of Chai Khana (image, title, author, etc)"
309,ru.app.common.full,Full Story,Full Story
310,ru.app.common.full_text,Embed the complete story on another website. We suggest you make the width as large as possible to produce the best look.,Embed the complete story on another website. We suggest you make the width as large as possible to produce the best look.
311,ru.app.common.feed,Chai Khana Feeds,Chai Khana Feeds
312,ru.app.common.home,Home,Home
313,ru.app.common.required,Required,Required
314,ru.app.common.nothing_selected,Nothing Selected,Nothing Selected
315,ru.app.common.clone_asset,Use the original file?,Use the original file?
316,ru.app.common.embed,Embed Code,Embed Code
317,ru.app.common.scroll_top,Scroll to the top,Scroll to the top
318,ru.app.msgs.does_not_exist,You tried to access a page that does not exist.,You tried to access a page that does not exist.
319,ru.app.msgs.not_authorized,You are not authorized to view that page.,You are not authorized to view that page.
320,ru.app.msgs.success_created,%{obj} was successfully created.,%{obj} was successfully created.
321,ru.app.msgs.success_updated,%{obj} was successfully updated.,%{obj} was successfully updated.
322,ru.app.msgs.success_publish,%{obj} was successfully published.,%{obj} was successfully published.
323,ru.app.msgs.success_unpublish,%{obj} was successfully unpublished.,%{obj} was successfully unpublished.
324,ru.app.msgs.success_clone,%{obj} was successfully cloned to %{to}.,%{obj} was successfully cloned to %{to}.
325,ru.app.msgs.error_created,%{obj} wasn't created: %{err},%{obj} wasn't created: %{err}
326,ru.app.msgs.error_updated,%{obj} wasn't updated: %{err},%{obj} wasn't updated: %{err}
327,ru.app.msgs.error_publish,%{obj} wasn't published: %{err},%{obj} wasn't published: %{err}
328,ru.app.msgs.error_publish_missing_fields,%{obj} can't be published until you provide a summary and thumbnail image.,%{obj} can't be published until you provide a summary and thumbnail image.
329,ru.app.msgs.error_publish_missing_fields_link,Add the missing content.,Add the missing content.
330,ru.app.msgs.error_publish_missing_sections,At least one Section required before publishing.,At least one Section required before publishing.
331,ru.app.msgs.error_publish_missing_content_section,All Text Sections must have content in it.,All Text Sections must have content in it.
332,ru.app.msgs.error_publish_missing_translations,The story must be completely translated in %{lang} in order to be published.,The story must be completely translated in %{lang} in order to be published.
333,ru.app.msgs.error_unpublish,%{obj} wasn't unpublished: %{err},%{obj} wasn't unpublished: %{err}
334,ru.app.msgs.error_clone,%{obj} wasn't cloned.,%{obj} wasn't cloned.
335,ru.app.msgs.error_clone_notification,Error occurred while cloning story: %{msg},Error occurred while cloning story: %{msg}
336,ru.app.msgs.error_export,Story can't be downloaded.,Story can't be downloaded.
337,ru.app.msgs.error_get_data,The selected item could not be found,The selected item could not be found
338,ru.app.msgs.select_section,Please select a Section first in order to add an Item,Please select a Section first in order to add an Item
339,ru.app.msgs.staff_pick,The story has been selected as a Staff Pick,The story has been selected as a Staff Pick
340,ru.app.msgs.staff_unpick,The story has been unselected as a Staff Pick,The story has been unselected as a Staff Pick
341,ru.app.msgs.success_settings,Your settings were successfully updated.,Your settings were successfully updated.
342,ru.app.msgs.success_remove_avatar,Your Facebook avatar is now being used.,Your Facebook avatar is now being used.
343,ru.app.msgs.nickname_duplicate,This user URL already exists.,This user URL already exists.
344,ru.app.msgs.nickname_url,Your URL will be:,Your URL will be:
