TRUEDUC,-1,Don't know
TRUEDUC,1,Fully distrust
TRUEDUC,2,Somewhat distrust
TRUEDUC,3,Neither trust not distrust
TRUEDUC,4,Somewhat trust
TRUEDUC,5,Fully trust
TRUSADC,-9,Break off
TRUSADC,-7,Legal skip
TRUSADC,-5,Not asked
TRUSADC,-3,Interviewer error
TRUSADC,-2,Refuse to answer
TRUSADC,-1,Don't know
TRUSADC,1,Fully distrust
TRUSADC,2,Somewhat distrust
TRUSADC,3,Neither trust not distrust
TRUSADC,4,Somewhat trust
TRUSADC,5,Fully trust
TRUARMY,-9,Break off
TRUARMY,-7,Legal skip
TRUARMY,-5,Not asked
TRUARMY,-3,Interviewer error
TRUARMY,-2,Refuse to answer
TRUARMY,-1,Don't know
TRUARMY,1,Fully distrust
TRUARMY,2,Somewhat distrust
TRUARMY,3,Neither trust not distrust
TRUARMY,4,Somewhat trust
TRUARMY,5,Fully trust
TRUCRTS,-9,Break off
TRUCRTS,-7,Legal skip
TRUCRTS,-5,Not asked
TRUCRTS,-3,Interviewer error
TRUCRTS,-2,Refuse to answer
TRUCRTS,-1,Don't know
TRUCRTS,1,Fully distrust
TRUCRTS,2,Somewhat distrust
TRUCRTS,3,Neither trust not distrust
TRUCRTS,4,Somewhat trust
TRUCRTS,5,Fully trust
TRUNGOS,-9,Break off
TRUNGOS,-7,Legal skip
TRUNGOS,-5,Not asked
TRUNGOS,-3,Interviewer error
TRUNGOS,-2,Refuse to answer
TRUNGOS,-1,Don't know
TRUNGOS,1,Fully distrust
TRUNGOS,2,Somewhat distrust
TRUNGOS,3,Neither trust not distrust
TRUNGOS,4,Somewhat trust
TRUNGOS,5,Fully trust
TRUPARL,-9,Break off
TRUPARL,-7,Legal skip
TRUPARL,-5,Not asked
TRUPARL,-3,Interviewer error
TRUPARL,-2,Refuse to answer
TRUPARL,-1,Don't know
TRUPARL,1,Fully distrust
TRUPARL,2,Somewhat distrust
TRUPARL,3,Neither trust not distrust
TRUPARL,4,Somewhat trust
TRUPARL,5,Fully trust
TRUEXEC,-9,Break off
TRUEXEC,-7,Legal skip
TRUEXEC,-5,Not asked
TRUEXEC,-3,Interviewer error
TRUEXEC,-2,Refuse to answer
TRUEXEC,-1,Don't know
TRUEXEC,1,Fully distrust
TRUEXEC,2,Somewhat distrust
TRUEXEC,3,Neither trust not distrust
TRUEXEC,4,Somewhat trust
TRUEXEC,5,Fully trust
TRUPRES,-9,Break off
TRUPRES,-7,Legal skip
TRUPRES,-5,Not asked
TRUPRES,-3,Interviewer error
TRUPRES,-2,Refuse to answer
TRUPRES,-1,Don't know
TRUPRES,1,Fully distrust
TRUPRES,2,Somewhat distrust
TRUPRES,3,Neither trust not distrust
TRUPRES,4,Somewhat trust
TRUPRES,5,Fully trust
TRUPOLI,-9,Break off
TRUPOLI,-7,Legal skip
TRUPOLI,-5,Not asked
TRUPOLI,-3,Interviewer error
TRUPOLI,-2,Refuse to answer
TRUPOLI,-1,Don't know
TRUPOLI,1,Fully distrust
TRUPOLI,2,Somewhat distrust
TRUPOLI,3,Neither trust not distrust
TRUPOLI,4,Somewhat trust
TRUPOLI,5,Fully trust
TRUPPS,-9,Break off
TRUPPS,-7,Legal skip
TRUPPS,-5,Not asked
TRUPPS,-3,Interviewer error
TRUPPS,-2,Refuse to answer
TRUPPS,-1,Don't know
TRUPPS,1,Fully distrust
TRUPPS,2,Somewhat distrust
TRUPPS,3,Neither trust not distrust
TRUPPS,4,Somewhat trust
TRUPPS,5,Fully trust
TRUMEDI,-9,Break off
TRUMEDI,-7,Legal skip
TRUMEDI,-5,Not asked
TRUMEDI,-3,Interviewer error
TRUMEDI,-2,Refuse to answer
TRUMEDI,-1,Don't know
TRUMEDI,1,Fully distrust
TRUMEDI,2,Somewhat distrust
TRUMEDI,3,Neither trust not distrust
TRUMEDI,4,Somewhat trust
TRUMEDI,5,Fully trust
TRULOCG,-9,Break off
TRULOCG,-7,Legal skip
TRULOCG,-5,Not asked
TRULOCG,-3,Interviewer error
TRULOCG,-2,Refuse to answer
TRULOCG,-1,Don't know
TRULOCG,1,Fully distrust
TRULOCG,2,Somewhat distrust
