3332,1,3,105,2,1,1,4,4,4,4,4,4,4,4,5,5,4,5,5,5,4,3,4,,,18,15,19,20,1,4,3,2,3,4,2,10,10,3,3,2,4,4,5,5,5,5,5,5,5,5,2,5,5,4,2,5,5,5,5,5,5,5,5,5,5,5,3,4,5,7,6,1,2,17,18,19,19,20,21,4,2,3,4,5,,,,,1,3,4,5,6,,,,2,3,,,,,,,2,3,,,,,,,2,3,,,,,,,1,3,6,7,,,,,1,3,4,,,,,,1,3,4,,,,,,1,3,5,9,,,,,1,3,5,6,,,,,1,3,5,,,,,,1,4,7,,,,,,2,3,4,,,,,,3,4,5,6,,,,,2,4,5,6,,,,,2,3,4,,,,,,2,1,2,3,,2,3,,,2,3,,,2,3,,,2,3,,,1,3,4,,,1,2,7,,,,,,,4,4,4,5,4,4,1,3,4,2,2,,,,,,,1,1,2,99,2,2,3,4,2,3,3,3,3,3,1,38,3,3,1,5,2,2,2,,,,,,,,2008,2005,,,,,,,,6,6,,,,,,,,1,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,7,,,,,,,,,1,1,4,6,,,1,1,2,2,99,2,,,,,1,1,1,3,1325.82464454976,1.37258230712513,
891,1,3,118,2,1,1,4,4,4,4,4,4,4,4,4,4,3,4,5,5,3,4,,,,18,18,25,25,1,2,4,2,2,4,2,0,0,4,4,4,4,4,4,4,4,4,5,5,5,4,2,4,4,1,3,5,5,5,5,5,4,4,5,5,5,4,1,2,5,6,4,3,7,5,16,18,12,13,15,4,2,3,,,,,,,1,3,,,,,,,2,3,8,,,,,,3,,,,,,,,3,4,5,,,,,,1,3,4,8,,,,,2,5,,,,,,,1,3,,,,,,,1,3,4,5,6,,,,1,3,5,6,,,,,2,7,,,,,,,2,7,,,,,,,3,4,,,,,,,2,3,4,5,6,,,,1,3,5,8,,,,,3,4,,,,,,,3,1,2,3,,2,,,,2,,,,2,,,,2,,,,1,1,2,3,4,3,2,4,,,,,,,4,4,4,4,4,2,1,2,3,1,2,,,,,,,1,1,3,3,1,2,3,1,2,3,3,1,1,2,1,20,1,1,3,7,2,1,2,,,,,,,,2008,2000,,,,,,,,7,6,,,,,,,,1,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,6,,,,,,,,,1,2,4,8,,,1,1,1,1,2,1,,,,,1,2,1,3,1325.82464454976,1.37258230712513,
248,1,9,204,1,1,1,4,2,2,4,5,5,5,4,4,4,3,5,5,5,3,2,,,,17,17,23,28,1,4,4,4,4,4,2,0,0,4,3,3,4,5,5,5,5,5,5,5,4,4,2,5,5,2,4,3,3,2,4,4,4,2,4,4,5,5,4,3,5,6,1,2,7,13,14,,14,15,,4,3,,,,,,,,2,,,,,,,,3,,,,,,,,3,,,,,,,,3,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,3,7,,,,,,2,7,,,,,,,3,4,,,,,,,3,7,,,,,,,1,3,,,,,,,3,4,,,,,,,4,1,,,,2,,,,2,,,,2,,,,3,,,,2,,,,,1,2,3,,,,,,,2,4,2,2,2,2,3,6,13,2,2,,,,,,,1,1,3,3,2,3,2,1,1,2,2,3,1,3,1,38,3,3,1,4,2,1,2,,,,,,,,2009,1995,,,,,,,,1,11,,,,,,,,1,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,6,,,,,,,,,1,1,6,6,,,1,1,3,1,3,2,,,,,1,1,1,9,919.068965517241,0.951481635435396,
1694,1,10,286,2,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,3,,,,18,20,20,20,1,3,2,4,2,4,3,18,18,3,3,3,4,4,4,4,4,4,4,4,4,4,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,1,6,7,2,3,4,15,,,15,,,4,3,,,,,,,,1,,,,,,,,2,,,,,,,,3,,,,,,,,3,,,,,,,,2,5,,,,,,,1,,,,,,,,1,,,,,,,,4,6,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,3,4,,,,,,,2,3,,,,,,,1,5,,,,,,,3,4,,,,,,,4,1,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,1,7,,,,,,,,4,4,4,4,4,4,4,,,2,2,,,,,,,1,2,3,3,3,3,3,3,3,3,3,3,3,1,1,37,3,3,1,6,2,2,1,,,,,,,,2009,1997,,,,,,,,6,6,,,,,,,,1,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,6,,,,,,,,,1,1,4,8,,,1,1,4,2,2,2,12,,,,1,1,1,10,560.8,0.580577651049148,
2564,1,11,79,3,1,1,4,4,5,4,5,5,4,4,4,4,3,5,5,4,2,4,,,,16,13,25,26,1,2,2,1,3,2,2,0,0,2,2,5,4,5,4,4,4,5,4,4,5,5,2,1,5,1,3,4,4,4,4,4,4,4,4,4,4,5,1,2,7,4,5,3,6,13,,,13,,,2,3,,,,,,,,2,,,,,,,,3,,,,,,,,3,4,,,,,,,3,,,,,,,,1,3,,,,,,,1,5,,,,,,,4,,,,,,,,1,5,,,,,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,3,,,,,,,,4,,,,,,,,2,,,,,,,,3,,,,,,,,2,3,,,,3,,,,2,3,,,3,,,,3,,,,1,3,,,,3,2,,,,,,,,4,4,4,4,4,5,1,,,2,2,,,,,,,1,1,3,3,1,1,2,1,2,3,3,3,3,3,1,26,2,2,2,4,2,2,2,,,,,,,,2009,2008,,,,,,,,4,1,,,,,,,,1,1,,,,,1,1,,,,,,,,3,3,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,8,3,1,26,1,1,4,3,5,1,,,,,1,3,2,11,1459.04850746269,1.51050455640059,
494,1,10,282,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,,,,16,16,25,25,1,4,4,4,3,4,1,0,0,2,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,1,6,5,4,2,3,10,,,14,,,4,2,,,,,,,,1,,,,,,,,2,3,,,,,,,3,,,,,,,,2,,,,,,,,4,,,,,,,,1,,,,,,,,1,,,,,,,,4,,,,,,,,1,,,,,,,,1,,,,,,,,1,3,,,,,,,3,,,,,,,,5,,,,,,,,4,,,,,,,,2,4,,,,,,,2,3,,,,2,,,,2,,,,2,,,,2,,,,1,2,,,,1,5,,,,,,,,4,3,3,3,4,3,4,,,1,2,,,,,,,1,1,3,3,3,3,3,3,3,3,3,3,3,3,1,45,4,4,1,8,2,1,2,,,,,,,,2008,2009,,,,,,,,12,3,,,,,,,,1,1,,,,,1,1,,,,,,,,3,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,2,2,4,6,,,1,1,4,1,1,1,,,,,2,1,1,10,560.8,0.580577651049148,
2884,2,8,328,2,2,2,2,4,4,3,5,5,5,3,4,4,3,4,4,4,3,4,,,,17,18,20,22,1,1,4,4,2,5,2,4,4,3,1,2,4,5,5,5,5,5,5,5,5,5,2,5,4,4,2,5,4,2,4,4,4,2,2,4,5,4,1,3,2,7,6,4,5,6,12,14,5,8,12,2,2,3,4,5,6,7,8,9,1,3,4,5,6,7,8,9,2,3,4,5,6,7,8,9,2,3,4,,,,,,3,,,,,,,,4,9,,,,,,,1,3,4,5,6,7,8,9,1,3,4,5,6,7,8,9,1,3,4,5,6,7,8,9,1,5,9,,,,,,1,3,6,7,,,,,1,3,7,,,,,,3,,,,,,,,5,9,,,,,,,2,,,,,,,,3,,,,,,,,2,1,2,3,,1,2,3,,1,2,3,,1,2,3,,1,2,3,,1,2,3,4,,1,3,,,,,,,,4,4,3,2,5,5,1,4,19,2,2,,,,,,,1,1,3,3,1,1,1,1,3,3,1,3,3,3,2,32,2,2,1,7,2,1,2,,,,,,,,2007,2008,,,,,,,,1,3,,,,,,,,1,1,,,,,2,2,,,,,,,,3,3,,,,,,,,,,,,,,,,,7,7,,,,,,,,1,1,8,1,1,166,4,2,5,2,4,1,,,,,1,1,1,40,771.235294117647,0.798434335707957,
1063,1,6,264,2,3,2,4,4,4,3,4,4,4,4,4,4,3,5,4,4,4,3,,,,16,16,18,18,1,4,4,1,2,5,2,0,0,3,1,2,5,5,5,5,5,5,5,5,4,5,1,5,3,3,3,4,4,4,4,4,4,4,2,4,4,5,3,2,4,7,6,1,5,13,,,14,,,3,2,3,,,,,,,1,,,,,,,,2,3,,,,,,,3,,,,,,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,1,4,,,,,,,5,,,,,,,,1,,,,,,,,2,4,,,,,,,2,,,,,,,,3,,,,,,,,6,,,,,,,,1,6,,,,,,,3,,,,,,,,2,1,,,,1,,,,7,,,,2,,,,1,,,,1,1,3,,,1,2,3,7,,,,,,3,4,3,3,4,4,1,6,,2,2,,,,,,,1,1,2,2,2,3,1,3,3,3,3,3,3,2,2,58,5,5,1,7,2,2,2,,,,,,,,2007,2008,,,,,,,,1,3,,,,,,,,1,1,,,,,2,2,,,,,,,,3,3,,,,,,,,,,,,,,,,,7,7,,,,,,,,2,2,8,1,1,62,3,3,4,1,3,1,,,,,1,4,3,39,1131.55,1.17145620728364,
656,1,6,270,2,3,2,3,3,2,2,3,4,4,3,3,3,2,5,4,4,2,4,,,,17,18,19,23,1,4,3,3,3,4,99,0,9,4,3,2,4,4,4,4,4,4,4,5,4,5,3,4,4,3,2,4,4,3,3,2,99,2,3,3,4,4,1,2,4,3,5,6,7,16,17,,11,12,,3,1,,,,,,,,0,,,,,,,,5,,,,,,,,3,4,,,,,,,4,,,,,,,,4,,,,,,,,0,,,,,,,,0,,,,,,,,5,,,,,,,,5,,,,,,,,2,7,,,,,,,99,,,,,,,,3,4,,,,,,,3,7,,,,,,,2,5,,,,,,,3,4,,,,,,,3,1,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,3,,,,,,,,,3,4,3,4,4,4,1,15,,1,1,5,,,,,,3,1,3,3,2,3,1,3,2,3,2,4,2,3,2,50,4,4,1,6,2,2,1,,,,,,,,2007,2009,,,,,,,,2,3,,,,,,,,1,1,,,,,2,2,,,,,,,,3,3,,,,,,,,,,,,,,,,,7,7,,,,,,,,2,2,4,3,2,10,3,3,4,3,1,1,,,,,1,1,1,39,1131.55,1.17145620728364,
2366,1,2,30,1,1,1,4,4,2,3,4,5,4,3,4,4,3,4,4,4,3,4,,,,15,15,20,30,1,4,3,2,4,4,4,5,5,3,4,3,4,4,4,5,5,5,5,5,5,5,2,5,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,2,7,5,1,6,3,10,,,10,,,4,3,,,,,,,,1,5,,,,,,,3,,,,,,,,3,,,,,,,,3,,,,,,,,2,5,,,,,,,2,,,,,,,,2,,,,,,,,1,5,6,,,,,,1,6,,,,,,,2,7,,,,,,,2,7,,,,,,,3,4,,,,,,,2,4,5,,,,,,2,5,,,,,,,3,4,,,,,,,4,1,,,,1,,,,2,,,,3,,,,3,,,,2,,,,,3,2,,,,,,,,4,4,4,4,3,2,1,2,,2,2,,,,,,,1,1,2,3,3,2,1,2,2,3,3,3,3,3,1,28,2,2,1,4,2,1,2,,,,,,,,2007,2008,,,,,,,,1,1,,,,,,,,1,1,,,,,2,2,,,,,,,,3,3,,,,,,,,,,,,,,,,,11,11,,,,,,,,1,1,8,6,,,1,1,4,3,3,1,,,,,1,1,1,2,290.744897959184,0.300998555477295,
2067,1,11,87,3,1,1,4,4,4,4,5,5,5,3,2,2,2,5,5,5,3,2,4,,,18,16,18,18,1,3,3,4,3,4,2,8,8,3,3,4,4,4,4,4,5,5,5,5,5,4,1,5,4,1,3,4,4,4,5,5,4,4,4,4,4,5,7,1,5,6,3,2,4,99,,,99,,,4,2,3,,,,,,,1,3,,,,,,,3,,,,,,,,3,,,,,,,,3,4,,,,,,,1,3,6,,,,,,2,,,,,,,,0,,,,,,,,4,6,,,,,,,2,6,,,,,,,2,,,,,,,,2,,,,,,,,3,4,,,,,,,3,7,,,,,,,2,5,,,,,,,3,4,,,,,,,2,1,3,,,2,,,,2,,,,2,,,,2,,,,2,,,,,3,2,,,,,,,,4,4,4,3,3,4,1,3,,2,2,,,,,,,1,1,3,3,1,1,1,3,1,3,3,3,3,2,2,30,2,2,2,4,2,1,2,,,,,,,,2005,2007,,,,,,,,12,4,,,,,,,,1,1,,,,,2,2,,,,,,,,3,3,,,,,,,,,,,,,,,,,11,11,,,,,,,,2,1,4,8,,,1,1,4,1,2,1,,,,,1,1,1,22,4526.83333333333,4.68648049814131,
2295,1,8,234,2,2,2,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,15,18,20,20,1,3,1,2,3,4,2,12,12,4,4,4,2,2,4,4,4,3,3,5,5,4,2,4,2,2,5,4,4,4,4,4,4,4,4,4,4,4,1,7,2,5,6,4,3,12,,,12,,,2,3,,,,,,,,2,,,,,,,,3,,,,,,,,3,,,,,,,,3,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,4,,,,,,,,3,,,,,,,,2,,,,,,,,4,,,,,,,,5,1,,,,1,,,,2,,,,2,,,,2,,,,2,,,,,1,7,,,,,,,,2,2,2,2,4,2,1,12,,1,2,,,,,,,1,1,3,3,3,3,3,4,1,3,3,1,1,1,1,29,2,2,1,11,2,1,2,,,,,,,,2006,2008,,,,,,,,5,1,,,,,,,,1,1,,,,,2,2,,,,,,,,3,3,,,,,,,,,,,,,,,,,7,7,,,,,,,,1,1,4,6,,,4,1,2,4,1,2,,,,,1,1,1,30,304,0.314721123250608,
700,1,6,259,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,18,17,24,32,1,4,4,3,4,4,4,0,0,2,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,3,5,5,5,4,7,3,1,6,5,4,2,9,11,14,10,13,15,4,2,3,6,9,,,,,1,3,6,9,,,,,2,3,8,,,,,,2,3,4,7,,,,,3,5,6,9,,,,,1,3,9,,,,,,1,3,6,8,9,,,,1,3,8,9,,,,,1,3,6,9,,,,,1,3,6,9,,,,,1,3,7,,,,,,1,3,7,,,,,,3,4,,,,,,,2,3,5,6,9,,,,2,6,8,9,,,,,3,4,,,,,,,2,1,2,3,,2,3,,,2,3,,,2,3,,,2,3,,,1,3,,,,1,4,7,8,,,,,,2,2,2,2,2,2,4,8,11,1,2,,,,,,,1,1,3,3,1,3,1,3,4,3,3,2,2,3,1,27,2,2,1,4,2,2,2,,,,,,,,2006,2009,,,,,,,,1,5,,,,,,,,1,1,,,,,2,2,,,,,,,,3,3,,,,,,,,,,,,,,,,,11,11,,,,,,,,1,1,4,8,,,4,1,1,1,2,1,,,,,1,1,1,28,594.385964912281,0.615348087242071,
1064,1,6,264,2,3,2,3,3,3,5,4,5,5,5,3,4,3,5,3,5,5,99,,,,15,18,18,24,1,4,3,3,3,5,3,10,10,2,3,3,5,5,5,5,3,3,4,3,5,4,2,5,4,3,3,4,4,4,4,4,4,4,4,4,4,5,1,3,4,6,7,2,5,10,11,12,12,13,,3,2,3,,,,,,,1,3,,,,,,,3,,,,,,,,4,,,,,,,,3,4,,,,,,,2,,,,,,,,1,,,,,,,,1,4,,,,,,,5,,,,,,,,5,,,,,,,,2,4,,,,,,,2,,,,,,,,3,,,,,,,,6,,,,,,,,5,,,,,,,,3,4,,,,,,,3,1,,,,1,,,,99,,,,2,,,,2,,,,2,,,,,3,2,,,,,,,,3,3,3,3,3,3,1,,,2,2,,,,,,,1,1,4,99,2,3,3,3,4,3,3,4,3,2,1,44,3,3,1,7,2,2,2,,,,,,,,2007,2009,,,,,,,,1,3,,,,,,,,1,1,,,,,2,2,,,,,,,,3,3,,,,,,,,,,,,,,,,,7,7,,,,,,,,2,2,4,6,,,3,3,5,1,2,1,,,,,2,3,2,28,594.385964912281,0.615348087242071,
